key,text,region,cityname,citytype,district,street,bldnum,bldlist
1,"«Հայաստանի էլեկտրական ցանցեր» փակ բաժնետիրական ընկերությունը տեղեկացնում է, որ մայիսի 11-ին պլանային նորոգման աշխատանքներ իրականացնելու նպատակով ժամանակավորապես կդադարեցվի հետևյալ հասցեների էլեկտրամատակարարումը`",,,,,,,
2,Երևանի Կենտրոն վարչական շրջան՝,Երևան,Երևան,քաղաք,Կենտրոն,,,
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,,,Չարենցի փողոց,,23-31
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,քաղաք,Կենտրոն,Տերյան փողոց,42,
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,քաղաք,,Այգեստան 9-րդ փողոց,,"41-55, 87-103"
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,քաղաք,,Այգեստան 10-րդ փողոց,,38-62
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,քաղաք,,Այգեստան 11-րդ փողոց,,82-199
3,"11:00-17:00Թումանյան փողոց 21, 32, 34 շենքեր, Տերյան փողոց 42 շենք, Ջոն Կիրակոսյանի անվան միջնակարգ դպրոց, Այգեստան 9-րդ փողոց (Ազգային Անվտանգության բարձրագույն դպրոց), Չարենցի փողոց 23-31 շենքեր, Այգեստան 9-րդ փողոց 41-55, 87-103; 10-րդ փողոց 38-62; 11-րդ փողոց 82-199 առանձնատներ,",Երևան,Երևան,քաղաք,Կենտրոն,Թումանյան փողոց,,"21, 32, 34"
4,Երևանի Քանաքեռ Զեյթուն վարչական շրջան՝,Երևան,Երևան,քաղաք,Քանաքեռ-Զեյթուն,,,
5,"11:00-17:00Քանաքեռի 10-րդ փողոցի 4-րդ նրբանցք 4Ա-6Ա, Սարկավագի փողոց 56-103 առանձնատներ, Քանաքեռի 11-րդ և 12-րդ փողոցների 1-24 առանձնատներ,",Երևան,Երևան,քաղաք,Քանաքեռ-Զեյթուն,Քանաքեռ 12-րդ փողոց,,1-24
5,"11:00-17:00Քանաքեռի 10-րդ փողոցի 4-րդ նրբանցք 4Ա-6Ա, Սարկավագի փողոց 56-103 առանձնատներ, Քանաքեռի 11-րդ և 12-րդ փողոցների 1-24 առանձնատներ,",Երևան,Երևան,քաղաք,Քանաքեռ-Զեյթուն,Քանաքեռ 11-րդ փողոց,,
5,"11:00-17:00Քանաքեռի 10-րդ փողոցի 4-րդ նրբանցք 4Ա-6Ա, Սարկավագի փողոց 56-103 առանձնատներ, Քանաքեռի 11-րդ և 12-րդ փողոցների 1-24 առանձնատներ,",Երևան,Երևան,քաղաք,Քանաքեռ-Զեյթուն,Զաքարիա Սարկավագի փողոց,,56-103
5,"11:00-17:00Քանաքեռի 10-րդ փողոցի 4-րդ նրբանցք 4Ա-6Ա, Սարկավագի փողոց 56-103 առանձնատներ, Քանաքեռի 11-րդ և 12-րդ փողոցների 1-24 առանձնատներ,",Երևան,Երևան,քաղաք,Քանաքեռ-Զեյթուն,Քանաքեռ 10-րդ փողոց 4-րդ նրբանցք,,4Ա-6Ա
7,"10:00-16:00Աբելյան փողոց 57, 59 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Հալաբյան փողոց 45 շենք և հարակից ոչ բնակիչ-բաժանորդներ, Մարգարյան փողոց 11, 15 շենքեր, Ֆուչիկի փողոց 24 շենք և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Աջափնյակ,Հալաբյան փողոց,45,
7,"10:00-16:00Աբելյան փողոց 57, 59 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Հալաբյան փողոց 45 շենք և հարակից ոչ բնակիչ-բաժանորդներ, Մարգարյան փողոց 11, 15 շենքեր, Ֆուչիկի փողոց 24 շենք և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Աջափնյակ,Ֆուչիկի փողոց,24,
7,"10:00-16:00Աբելյան փողոց 57, 59 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Հալաբյան փողոց 45 շենք և հարակից ոչ բնակիչ-բաժանորդներ, Մարգարյան փողոց 11, 15 շենքեր, Ֆուչիկի փողոց 24 շենք և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Աջափնյակ,Մարգարյան փողոց,,"11, 15"
7,"10:00-16:00Աբելյան փողոց 57, 59 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Հալաբյան փողոց 45 շենք և հարակից ոչ բնակիչ-բաժանորդներ, Մարգարյան փողոց 11, 15 շենքեր, Ֆուչիկի փողոց 24 շենք և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Աջափնյակ,Աբելյան փողոց,,"57, 59"
9,"10:00-16:00թիվ 92 մսուր-մանկապաչտեզ, Սվաճյան փողոց 46, 48, 50, 52, 56, 58, 60, 62 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Շերամի փողոց 113, 115 շենքեր,",Երևան,Երևան,քաղաք,Մալաթիա-Սեբաստիա,Սվաճյան փողոց,,"46, 48, 50, 52, 56, 58, 60, 62"
9,"10:00-16:00թիվ 92 մսուր-մանկապաչտեզ, Սվաճյան փողոց 46, 48, 50, 52, 56, 58, 60, 62 շենքեր և հարակից ոչ բնակիչ-բաժանորդներ, Շերամի փողոց 113, 115 շենքեր,",Երևան,Երևան,քաղաք,Մալաթիա-Սեբաստիա,Շերամ փողոց,,"113, 115"
11,"11:00-17:00Նոր Նորքի 2-րդ զանգված՝ Թոթովենցի փողոց 11/2, 13, 15 շենքեր, Մոլդովական փողոց 4/2, 6, 6/1, 8, 8/1, 10, 10/1, 12, 14 շենքեր, «Յուքոմ» ՓԲԸ, «Ռեզպրո» ՍՊԸ և հարակից ոչ բնակիչ-բաժանորդներ,",Երևան,Երևան,քաղաք,Նոր Նորք,Մոլդովական փողոց,,"4/2, 6, 6/1, 8, 8/1, 10, 10/1, 12, 14"
